File 119-2146.cpp: 199 tokens, 41 lines (not NL-terminated)
File 121-2146.cpp: 188 tokens, 37 lines (not NL-terminated)
File 13-2146.cpp: 154 tokens, 31 lines (not NL-terminated)
File 136-2146.cpp: 249 tokens, 61 lines (not NL-terminated)
File 14-2146.cpp: 135 tokens, 28 lines (not NL-terminated)
File 141-2146.cpp: 294 tokens, 59 lines (not NL-terminated)
File 144-2146.cpp: 159 tokens, 60 lines (not NL-terminated)
File 15-2146.cpp: 160 tokens, 31 lines (not NL-terminated)
File 17-2146.cpp: 170 tokens, 47 lines (not NL-terminated)
File 182-2146.cpp: 228 tokens, 44 lines (not NL-terminated)
File 206-2146.cpp: 169 tokens, 45 lines (not NL-terminated)
File 21-2146.cpp: 187 tokens, 31 lines (not NL-terminated)
File 213-2146.cpp: 161 tokens, 34 lines (not NL-terminated)
File 24-2146.cpp: 134 tokens, 26 lines (not NL-terminated)
File 259-2146.cpp: 184 tokens, 36 lines (not NL-terminated)
File 291-2146.cpp: 165 tokens, 38 lines (not NL-terminated)
File 32-2146.cpp: 161 tokens, 35 lines (not NL-terminated)
File 335-2146.cpp: 182 tokens, 37 lines (not NL-terminated)
File 346-2146.cpp: 161 tokens, 28 lines (not NL-terminated)
File 357-2146.cpp: 195 tokens, 58 lines (not NL-terminated)
File 38-2146.cpp: 166 tokens, 36 lines (not NL-terminated)
File 42-2146.cpp: 137 tokens, 35 lines (not NL-terminated)
File 50-2146.cpp: 190 tokens, 45 lines (not NL-terminated)
File 58-2146.cpp: 172 tokens, 35 lines (not NL-terminated)
File 59-2146.cpp: 133 tokens, 26 lines (not NL-terminated)
File 60-2146.cpp: 167 tokens, 41 lines (not NL-terminated)
File 63-2146.cpp: 204 tokens, 36 lines (not NL-terminated)
File 64-2146.cpp: 169 tokens, 38 lines (not NL-terminated)
File 66-2146.cpp: 175 tokens, 36 lines (not NL-terminated)
File 67-2146.cpp: 180 tokens, 41 lines (not NL-terminated)
File 70-2146.cpp: 503 tokens, 85 lines (not NL-terminated)
File 71-2146.cpp: 167 tokens, 40 lines (not NL-terminated)
File 72-2146.cpp: 168 tokens, 31 lines (not NL-terminated)
File 75-2146.cpp: 187 tokens, 22 lines (not NL-terminated)
File 76-2146.cpp: 172 tokens, 36 lines (not NL-terminated)
File 78-2146.cpp: 174 tokens, 40 lines (not NL-terminated)
File 83-2146.cpp: 190 tokens, 31 lines (not NL-terminated)
File 89-2146.cpp: 188 tokens, 46 lines (not NL-terminated)
File 90-2146.cpp: 145 tokens, 35 lines (not NL-terminated)
Total input: 39 files (39 new, 0 old), 7222 tokens

